RR-1,RR-2
59.4,36.0
3.5,59.4
1.7,3.5
99.5,1.7
0.0,99.5
30.6,0.0
0.0,30.6
23.0,0.0
8.0,23.0
1.0,8.0
34.5,1.0
117.0,34.5
12.0,117.0
50.5,12.0
28.3,50.5
22.5,28.3
12.7,22.5
0.0,12.7
0.0,0.0
2.5,0.0
10.0,2.5
0.0,10.0
4.6,0.0
8.2,4.6
0.0,8.2
3.3,0.0
1.6,3.3
1.6,1.6
0.8,1.6
0.0,0.8
0.0,0.0
0.0,0.0
6.3,0.0
7.2,6.3
19.0,7.2
3.5,19.0
144.0,3.5
38.3,144.0
71.9,38.3
33.3,71.9
28.0,33.3
7.0,28.0
0.0,7.0
7.6,0.0
6.1,7.6
15.9,6.1
1.0,15.9
38.0,1.0
6.0,38.0
22.0,6.0
26.6,22.0
27.0,26.6
51.9,27.0
7.5,51.9
15.6,7.5
1.5,15.6
1.5,1.5
51.8,1.5
76.5,51.8
0.0,76.5
13.0,0.0
1.4,13.0
5.1,1.4
1.0,5.1
8.2,1.0
0.0,8.2
26.8,0.0
7.5,26.8
1.8,7.5
2.6,1.8
3.0,2.6
0.0,3.0
7.7,0.0
10.6,7.7
9.6,10.6
25.2,9.6
30.2,25.2
37.7,30.2
12.5,37.7
6.1,12.5
1.5,6.1
37.1,1.5
1.5,37.1
8.5,1.5
26.2,8.5
12.3,26.2
13.5,12.3
2.1,13.5
5.2,2.1
2.4,5.2
0.0,2.4
1.3,0.0
8.7,1.3
1.6,8.7
32.0,1.6
1.0,32.0
1.5,1.0
0.8,1.5
0.8,0.8
0.0,0.8
0.2,0.0
0.0,0.2
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
9.5,0.0
3.6,9.5
4.8,3.6
1.2,4.8
7.2,1.2
0.0,7.2
23.0,0.0
7.7,23.0
10.2,7.7
0.0,10.2
2.6,0.0
0.0,2.6
0.0,0.0
5.8,0.0
1.2,5.8
14.2,1.2
32.5,14.2
1.4,32.5
0.0,1.4
3.6,0.0
9.0,3.6
15.8,9.0
6.7,15.8
2.0,6.7
0.0,2.0
0.7,0.0
0.2,0.7
0.0,0.2
0.1,0.0
0.0,0.1
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
7.3,0.0
11.2,7.3
21.8,11.2
15.6,21.8
30.1,15.6
24.0,30.1
76.3,24.0
4.0,76.3
0.0,4.0
1.0,0.0
0.0,1.0
0.0,0.0
0.0,0.0
10.0,0.0
0.0,10.0
40.0,0.0
0.0,40.0
5.0,0.0
0.0,5.0
78.0,0.0
26.0,78.0
34.7,26.0
0.0,34.7
11.6,0.0
0.0,11.6
8.0,0.0
0.0,8.0
20.5,0.0
30.0,20.5
14.0,30.0
1.6,14.0
4.0,1.6
13.0,4.0
5.7,13.0
0.0,5.7
4.1,0.0
10.2,4.1
0.5,10.2
4.5,0.5
8.0,4.5
6.2,8.0
4.8,6.2
2.8,4.8
0.0,2.8
0.0,0.0
7.0,0.0
19.5,7.0
8.5,19.5
0.0,8.5
4.2,0.0
2.1,4.2
3.2,2.1
2.7,3.2
2.9,2.7
2.8,2.9
6.1,2.8
15.5,6.1
12.5,15.5
40.5,12.5
1.5,40.5
13.5,1.5
33.5,13.5
2.0,33.5
0.2,2.0
0.7,0.2
0.0,0.7
13.9,0.0
35.2,13.9
19.6,35.2
13.5,19.6
11.7,13.5
2.0,11.7
6.8,2.0
4.4,6.8
5.6,4.4
3.4,5.6
3.0,3.4
0.0,3.0
1.0,0.0
0.3,1.0
0.0,0.3
0.3,0.0
0.3,0.3
0.6,0.3
0.3,0.6
0.0,0.3
0.7,0.0
0.0,0.7
2.5,0.0
0.5,2.5
11.9,0.5
43.0,11.9
1.5,43.0
4.0,1.5
19.2,4.0
5.0,19.2
66.5,5.0
9.5,66.5
21.7,9.5
10.4,21.7
10.7,10.4
0.0,10.7
8.0,0.0
17.0,8.0
4.5,17.0
10.8,4.5
7.6,10.8
6.1,7.6
4.6,6.1
0.0,4.6
2.3,0.0
0.8,2.3
1.0,0.8
0.0,1.0
0.3,0.0
0.0,0.3
1.5,0.0
1.4,1.5
4.2,1.4
0.0,4.2
8.9,0.0
2.5,8.9
4.3,2.5
1.5,4.3
13.7,1.5
8.5,13.7
40.5,8.5
7.5,40.5
3.2,7.5
14.9,3.2
22.4,14.9
34.0,22.4
37.6,34.0
46.0,37.6
28.3,46.0
25.2,28.3
1.2,25.2
8.8,1.2
3.3,8.8
0.0,3.3
14.9,0.0
5.0,14.9
51.2,5.0
16.2,51.2
36.0,16.2
34.5,36.0
43.5,34.5
7.5,43.5
23.2,7.5
16.4,23.2
18.6,16.4
8.8,18.6
0.0,8.8
0.0,0.0
19.5,0.0
20.8,19.5
58.5,20.8
5.0,58.5
70.4,5.0
35.2,70.4
3.5,35.2
62.0,3.5
34.1,62.0
46.8,34.1
1.3,46.8
89.6,1.3
36.5,89.6
44.2,36.5
18.7,44.2
32.0,18.7
6.0,32.0
3.7,6.0
18.5,3.7
4.0,18.5
3.0,4.0
1.3,3.0
0.0,1.3
0.0,0.0
0.0,0.0
5.1,0.0
5.4,5.1
