Tanggal,Curah Hujan Aktual,Curah Hujan Prediksi
5/27/2024,0,0.03
5/28/2024,0,0.03
5/29/2024,0,0.03
5/30/2024,0,0.03
5/31/2024,0,0.03
6/1/2024,0,0.03
6/2/2024,0,0.03
6/3/2024,0,0.03
6/4/2024,0,0.03
6/5/2024,0,0.03
6/6/2024,0,0.03
6/7/2024,0,0.03
6/8/2024,0,0.03
6/9/2024,0,0.03
6/10/2024,0,0.03
6/11/2024,0,0.03
6/12/2024,0,0.03
6/13/2024,0,0.03
6/14/2024,0,0.03
6/15/2024,0,0.03
6/16/2024,0,0.03
6/17/2024,0,0.03
6/18/2024,0,0.03
6/19/2024,0,0.03
6/20/2024,1.8,0.03
6/21/2024,7,0.92
6/22/2024,0,3.46
6/23/2024,2.1,0.00
6/24/2024,1.5,1.07
6/25/2024,0,0.72
6/26/2024,0,0.00
6/27/2024,0,0.03
6/28/2024,5,0.03
6/29/2024,3.1,2.51
6/30/2024,7.3,1.44
7/1/2024,0,3.57
7/2/2024,0,0.00
7/3/2024,0,0.03
7/4/2024,0,0.03
7/5/2024,0,0.03
7/6/2024,0,0.03
7/7/2024,0,0.03
7/8/2024,1,0.03
7/9/2024,0,0.53
7/10/2024,4,0.01
7/11/2024,1,2.01
7/12/2024,0,0.42
7/13/2024,0,0.01
7/14/2024,0,0.03
7/15/2024,27,0.03
7/16/2024,0,13.42
7/17/2024,0,0.00
7/18/2024,0,0.03
7/19/2024,0,0.03
7/20/2024,0,0.03
7/21/2024,0,0.03
7/22/2024,0,0.03
7/23/2024,0,0.03
7/24/2024,0,0.03
7/25/2024,0,0.03
7/26/2024,0,0.03
7/27/2024,0,0.03
7/28/2024,0,0.03
7/29/2024,0,0.03
7/30/2024,0,0.03
7/31/2024,0,0.03
8/1/2024,0,0.03
8/2/2024,0,0.03
8/3/2024,0,0.03
8/4/2024,0,0.03
8/5/2024,0,0.03
8/6/2024,0,0.03
8/7/2024,0,0.03
8/8/2024,0,0.03
8/9/2024,0.8,0.03
8/10/2024,134.9,0.43
8/11/2024,45.2,66.92
8/12/2024,60,18.94
8/13/2024,0,28.61
8/14/2024,15,0.00
8/15/2024,0,7.47
8/16/2024,0,0.00
8/17/2024,5.9,0.03
8/18/2024,0,2.96
8/19/2024,5.1,0.00
8/20/2024,14.9,2.56
8/21/2024,0,7.29
8/22/2024,0,0.00
8/23/2024,29.6,0.03
8/24/2024,9.9,14.71
8/25/2024,0,4.17
8/26/2024,8,0.00
8/27/2024,12,4.00
8/28/2024,10.2,5.77
8/29/2024,2.4,4.78
8/30/2024,0,0.96
8/31/2024,0,0.00
9/1/2024,0,0.03
9/2/2024,0,0.03
9/3/2024,1.9,0.03
9/4/2024,6.5,0.97
9/5/2024,1,3.21
9/6/2024,0,0.36
9/7/2024,5.7,0.01
9/8/2024,0.1,2.86
9/9/2024,1.4,0.00
9/10/2024,0,0.72
9/11/2024,0,0.00
9/12/2024,0,0.03
9/13/2024,0,0.03
9/14/2024,4.5,0.03
9/15/2024,9.8,2.26
9/16/2024,8.2,4.77
9/17/2024,37.5,3.84
9/18/2024,69.4,18.42
9/19/2024,9.7,33.48
9/20/2024,6,3.04
9/21/2024,4.4,2.75
9/22/2024,3.8,2.06
9/23/2024,3.1,1.80
9/24/2024,1,1.47
9/25/2024,1,0.45
9/26/2024,0,0.50
9/27/2024,0,0.01
9/28/2024,11.6,0.03
9/29/2024,24.9,5.78
9/30/2024,0,12.08
10/1/2024,0,0.00
10/2/2024,0,0.03
10/3/2024,3.1,0.03
10/4/2024,5.4,1.57
10/5/2024,7,2.63
10/6/2024,12.3,3.36
10/7/2024,5.3,5.95
10/8/2024,6.2,2.34
10/9/2024,4.5,2.97
10/10/2024,2.8,2.10
10/11/2024,0,1.30
10/12/2024,21,0.00
10/13/2024,6.2,10.45
10/14/2024,0.5,2.56
10/15/2024,3.1,0.12
10/16/2024,2.5,1.56
10/17/2024,0,1.19
10/18/2024,1,0.00
10/19/2024,1.6,0.53
10/20/2024,0,0.80
10/21/2024,0,0.00
10/22/2024,0,0.03
10/23/2024,0,0.03
10/24/2024,0,0.03
10/25/2024,0,0.03
10/26/2024,0,0.03
10/27/2024,0,0.03
10/28/2024,4.5,0.03
10/29/2024,0,2.26
10/30/2024,0,0.00
10/31/2024,0,0.03
11/1/2024,0,0.03
11/2/2024,0,0.03
11/3/2024,0,0.03
11/4/2024,0,0.03
11/5/2024,0,0.03
11/6/2024,0.6,0.03
11/7/2024,2.5,0.33
11/8/2024,0,1.26
11/9/2024,0,0.00
11/10/2024,2.1,0.03
11/11/2024,0,1.07
11/12/2024,2.6,0.00
11/13/2024,3.5,1.32
11/14/2024,5.2,1.70
11/15/2024,1.8,2.52
11/16/2024,8.8,0.79
11/17/2024,6.8,4.35
11/18/2024,0.5,3.18
11/19/2024,0,0.10
11/20/2024,0,0.02
11/21/2024,23.8,0.03
11/22/2024,9,11.83
11/23/2024,29.1,3.88
11/24/2024,110.3,14.23
11/25/2024,0.3,53.98
11/26/2024,44.7,0.00
11/27/2024,4.6,22.19
11/28/2024,0,1.15
11/29/2024,0,0.00
11/30/2024,0,0.03
12/1/2024,8,0.03
12/2/2024,8.5,4.00
12/3/2024,21,4.04
12/4/2024,5,10.23
12/5/2024,2,1.97
12/6/2024,2,0.89
12/7/2024,25,0.97
12/8/2024,4,12.38
12/9/2024,5,1.37
12/10/2024,7.3,2.41
12/11/2024,13,3.52
12/12/2024,10.2,6.29
