Tanggal,Prediksi Curah Hujan (mm)
2025-01-01,1.5
2025-01-02,0.0
2025-01-03,3.5
2025-01-04,14.6
2025-01-05,19.9
2025-01-06,8.5
2025-01-07,19.5
2025-01-08,0.0
2025-01-09,27.3
2025-01-10,0.0
2025-01-11,0.0
2025-01-12,16.3
2025-01-13,19.4
2025-01-14,69.7
2025-01-15,0.6
2025-01-16,24.5
2025-01-17,3.0
2025-01-18,0.0
2025-01-19,0.0
2025-01-20,0.0
2025-01-21,0.0
2025-01-22,4.0
2025-01-23,0.0
2025-01-24,29.9
2025-01-25,12.5
2025-01-26,12.0
2025-01-27,2.0
2025-01-28,6.7
2025-01-29,0.2
2025-01-30,11.1
2025-01-31,0.0
